Foreign State of Chargeability,,
or Place of Birth,Visa Class,Issuances
Italy,E14,1
Italy,E15,2
Italy,E31,2
Italy,EW3,1
Italy,F12,3
Italy,F21,2
Italy,F22,1
Italy,F33,2
Italy,F41,1
Italy,F42,1
Italy,F43,4
Italy,FX1,2
Italy,FX2,2
Italy,IR1,15
Italy,IR2,3
Italy,IR5,4
Jamaica,CR1,64
Jamaica,CR2,28
Jamaica,E31,33
Jamaica,E34,14
Jamaica,E35,36
Jamaica,EW3,1
Jamaica,F11,94
Jamaica,F12,81
Jamaica,F21,15
Jamaica,F22,26
Jamaica,F23,9
Jamaica,F24,14
Jamaica,F25,12
Jamaica,F31,15
Jamaica,F32,13
Jamaica,F33,19
Jamaica,F41,14
Jamaica,F42,1
Jamaica,F43,5
Jamaica,FX1,12
Jamaica,FX2,26
Jamaica,FX3,7
Jamaica,IR1,53
Jamaica,IR2,163
Jamaica,IR4,1
Jamaica,IR5,117
Jamaica,SB1,4
Jamaica,SE1,1
Japan,CR1,27
Japan,DV1,5
Japan,DV2,2
Japan,E21,2
Japan,E22,1
Japan,E23,2
Japan,E31,4
Japan,E32,3
Japan,E34,4
Japan,E35,1
Japan,F11,2
Japan,F21,1
Japan,F42,1
Japan,I51,1
Japan,I52,1
Japan,I53,2
Japan,IR1,41
Japan,IR2,5
Japan,IR3,1
Japan,IR4,3
Japan,IR5,5
Japan,SR1,1
Japan,SR2,1
Jordan,CR1,60
Jordan,CR2,6
Jordan,DV1,7
Jordan,DV2,4
Jordan,DV3,9
Jordan,E11,1
Jordan,E15,2
Jordan,E31,1
Jordan,E35,2
Jordan,EW4,1
Jordan,EW5,2
Jordan,F11,2
Jordan,F12,4
Jordan,F21,2
Jordan,F22,4
Jordan,F24,4
Jordan,F31,8
Jordan,F32,8
Jordan,F33,28
Jordan,F41,10
Jordan,F42,8
Jordan,F43,40
Jordan,FX1,7
Jordan,FX2,5
Jordan,FX3,6
Jordan,IR1,39
Jordan,IR2,34
Jordan,IR5,37
Jordan,SB1,1
Jordan,SQ3,2
Kazakhstan,CR1,1
Kazakhstan,DV1,11
Kazakhstan,DV2,8
Kazakhstan,DV3,16
Kazakhstan,E31,1
Kazakhstan,F11,1
Kazakhstan,F21,3
Kazakhstan,F23,1
Kazakhstan,F41,2
Kazakhstan,IR1,1
Kazakhstan,IR2,5
Kazakhstan,IR5,5
Kenya,CR1,9
Kenya,CR2,3
Kenya,DV1,49
Kenya,DV2,9
Kenya,DV3,19
Kenya,E21,1
Kenya,E23,2
Kenya,E31,17
Kenya,E34,8
Kenya,E35,20
Kenya,F11,13
Kenya,F12,9
Kenya,F21,4
Kenya,F22,7
Kenya,F25,2
Kenya,F41,2
Kenya,F42,1
Kenya,F43,2
Kenya,FX1,1
Kenya,FX2,11
Kenya,I51,2
Kenya,I52,1
Kenya,IB3,2
Kenya,IR1,14
Kenya,IR2,31
Kenya,IR5,39
Kenya,SB1,1
Kenya,SR3,1
"Korea, South",CR1,53
"Korea, South",CR2,3
"Korea, South",E11,13
"Korea, South",E14,11
"Korea, South",E15,12
"Korea, South",E21,21
"Korea, South",E22,17
"Korea, South",E23,32
"Korea, South",E31,18
"Korea, South",E32,2
"Korea, South",E34,11
"Korea, South",E35,10
"Korea, South",EW4,1
"Korea, South",EW5,1
"Korea, South",F11,5
"Korea, South",F12,1
"Korea, South",F21,4
"Korea, South",F23,1
"Korea, South",F24,3
"Korea, South",F25,1
"Korea, South",F31,5
"Korea, South",F32,4
"Korea, South",F33,13
"Korea, South",F41,12
"Korea, South",F42,11
"Korea, South",F43,18
"Korea, South",FX1,2
"Korea, South",FX2,1
"Korea, South",FX3,1
"Korea, South",I51,24
"Korea, South",I52,8
"Korea, South",I53,26
"Korea, South",IR1,50
"Korea, South",IR2,10
"Korea, South",IR3,25
"Korea, South",IR5,32
"Korea, South",IW1,1
"Korea, South",SB1,1
Kosovo,CR1,7
Kosovo,DV1,5
Kosovo,DV2,3
Kosovo,DV3,5
Kosovo,F21,3
Kosovo,F24,2
Kosovo,F31,2
Kosovo,F32,2
Kosovo,F33,4
Kosovo,F41,2
Kosovo,F42,1
Kosovo,F43,2
Kosovo,FX1,4
Kosovo,FX3,1
Kosovo,IR1,3
Kosovo,IR5,3
Kuwait,CR1,2
Kuwait,DV1,1
Kuwait,E31,2
Kuwait,E34,1
Kuwait,E35,1
Kuwait,EW3,1
Kuwait,F11,2
Kuwait,F21,1
Kuwait,F31,2
Kuwait,F32,2
Kuwait,F41,2
Kuwait,F42,3
Kuwait,F43,3
Kuwait,FX2,1
Kuwait,IR1,4
Kuwait,IR5,4
Kyrgyzstan,CR1,3
Kyrgyzstan,DV1,16
Kyrgyzstan,DV2,9
Kyrgyzstan,DV3,4
Kyrgyzstan,F12,4
Kyrgyzstan,F21,1
Kyrgyzstan,F22,3
Kyrgyzstan,F31,1
Kyrgyzstan,F32,1
Kyrgyzstan,F33,2
Kyrgyzstan,FX1,1
Kyrgyzstan,IR1,3
Kyrgyzstan,IR2,1
Kyrgyzstan,IR5,8
Kyrgyzstan,SB1,1
Laos,CR1,1
Laos,F11,1
Laos,F22,6
Laos,F41,1
Laos,F42,1
Laos,F43,5
Laos,IR1,3
Laos,IR2,3
Laos,IR5,10
Latvia,CR1,1
Latvia,DV1,1
Latvia,IH3,10
Latvia,IR1,1
Lebanon,CR1,19
Lebanon,E14,1
Lebanon,E21,1
Lebanon,E22,2
Lebanon,E23,1
Lebanon,E34,1
Lebanon,E35,3
Lebanon,EW3,1
Lebanon,EW5,1
Lebanon,F11,4
Lebanon,F12,5
Lebanon,F21,2
Lebanon,F23,3
Lebanon,F24,2
Lebanon,F31,2
Lebanon,F32,2
Lebanon,F33,5
Lebanon,F41,8
Lebanon,F42,6
Lebanon,F43,10
Lebanon,FX1,1
Lebanon,FX2,3
Lebanon,FX3,2
Lebanon,I53,1
Lebanon,IR1,12
Lebanon,IR2,9
Lebanon,IR5,30
Liberia,CR1,8
Liberia,CR2,1
Liberia,DV1,34
Liberia,DV2,11
Liberia,DV3,15
Liberia,F11,3
Liberia,F21,1
Liberia,F22,5
Liberia,FX1,1
Liberia,FX2,1
Liberia,IR1,4
Liberia,IR2,14
Liberia,IR3,6
Liberia,IR5,18
Liberia,SE1,1
Liberia,SE2,1
Liberia,SE3,1
Libya,CR1,2
Libya,DV1,2
Libya,DV2,1
Libya,E34,1
Libya,F24,1
Libya,F25,1
Libya,F41,1
Libya,IR1,3
Libya,IR2,1
Libya,IR5,1
Lithuania,CR1,2
Lithuania,DV1,1
Lithuania,DV2,1
Lithuania,DV3,1
Lithuania,E31,1
Lithuania,E32,1
Lithuania,F11,2
Lithuania,F12,1
Lithuania,F41,1
Lithuania,FX2,1
Lithuania,IR1,6
Lithuania,IR5,5
Macau,CR2,1
Macau,F43,1
Macau,IR5,1
Macedonia,CR1,7
Macedonia,DV1,10
Macedonia,DV2,8
Macedonia,DV3,6
Macedonia,F11,1
Macedonia,F31,1
Macedonia,F32,1
Macedonia,F33,1
Macedonia,F41,3
Macedonia,F42,2
Macedonia,F43,3
Macedonia,FX1,1
Macedonia,FX2,2
Macedonia,IR5,12
Madagascar,DV1,1
Malawi,CR2,1
Malawi,F11,1
Malawi,F43,2
Malawi,IR5,2
Malaysia,CR1,3
Malaysia,DV1,1
Malaysia,DV2,1
Malaysia,DV3,2
Malaysia,E31,1
Malaysia,E34,1
Malaysia,E35,2
Malaysia,EW3,1
Malaysia,EW4,1
Malaysia,F11,1
Malaysia,F31,1
Malaysia,F32,1
Malaysia,F33,2
Malaysia,F41,3
Malaysia,F42,4
Malaysia,F43,2
Malaysia,I51,2
Malaysia,I52,2
Malaysia,I53,6
Malaysia,IR1,2
Malaysia,IR2,3
Malaysia,IR3,1
Malaysia,IR5,5
Mali,CR1,1
Mali,F21,1
Mali,FX1,1
Mali,FX2,2
Mali,IR2,1
Mali,IR5,5
Mali,SU3,1
Malta,F21,1
Mauritania,CR1,2
Mauritania,F11,1
Mauritania,F24,1
Mauritania,IR1,1
Mauritania,IR2,3
Mauritius,CR1,1
Mexico,BX2,1
Mexico,CR1,97
Mexico,CR2,11
Mexico,E11,3
Mexico,E14,3
Mexico,E15,3
Mexico,E23,1
Mexico,E31,1
Mexico,E34,1
Mexico,E35,6
Mexico,EW3,6
Mexico,EW4,4
Mexico,EW5,7
Mexico,F11,105
Mexico,F12,60
Mexico,F24,81
Mexico,F25,72
Mexico,F31,18
Mexico,F32,17
Mexico,F33,32
Mexico,F41,100
Mexico,F42,61
Mexico,F43,96
Mexico,FX1,880
Mexico,FX2,921
Mexico,FX3,18
Mexico,I51,3
Mexico,I52,2
Mexico,I53,2
Mexico,IB2,1
Mexico,IR1,"1,383"
Mexico,IR2,196
Mexico,IR5,333
Mexico,IW1,3
Mexico,IW2,1
Mexico,SB1,1
Mexico,SU3,2
Moldova,CR1,1
Moldova,DV1,20
Moldova,DV2,9
Moldova,DV3,9
Moldova,F11,1
Moldova,F21,6
Moldova,F23,2
Moldova,IR1,2
Moldova,IR5,3
Moldova,SB1,1
Monaco,CR1,1
Mongolia,CR1,1
Mongolia,DV1,3
Mongolia,DV2,1
Mongolia,DV3,2
Mongolia,E21,1
Mongolia,F22,1
Mongolia,F24,1
Mongolia,FX1,1
Mongolia,FX2,1
Mongolia,IR1,1
Mongolia,IR2,1
Mongolia,SB1,1
Montenegro,CR1,1
Montenegro,F41,1
Montenegro,F42,1
Montenegro,F43,3
Montenegro,IR1,1
Montenegro,IR5,4
Morocco,CR1,37
Morocco,DV1,28
Morocco,DV2,3
Morocco,DV3,3
Morocco,F11,1
Morocco,F21,11
Morocco,F22,1
Morocco,F24,1
Morocco,F32,1
Morocco,F33,2
Morocco,F41,3
Morocco,F42,2
Morocco,F43,1
Morocco,FX1,2
Morocco,FX2,1
Morocco,IR1,26
Morocco,IR2,8
Morocco,IR4,1
Morocco,IR5,44
Morocco,SB1,2
Morocco,SE2,1
Mozambique,IR5,1
Nepal,CR1,42
Nepal,CR2,2
Nepal,DV1,147
Nepal,DV2,69
Nepal,DV3,46
Nepal,E11,1
Nepal,E14,3
Nepal,E15,5
Nepal,F11,4
Nepal,F12,1
Nepal,F21,25
Nepal,F22,6
Nepal,F24,1
Nepal,F41,4
Nepal,F42,4
Nepal,F43,9
Nepal,FX1,7
Nepal,FX2,7
Nepal,IR1,15
Nepal,IR2,7
Nepal,IR5,85
Nepal,SB1,2
Nepal,SE1,1
Nepal,SE2,1
Netherlands,CR1,4
Netherlands,DV1,3
Netherlands,E11,1
Netherlands,E15,1
Netherlands,E21,1
Netherlands,E22,1
Netherlands,F11,1
Netherlands,F12,1
Netherlands,I51,1
Netherlands,I52,1
Netherlands,I53,3
Netherlands,IR1,3
Netherlands,IR2,3
Netherlands,IR5,3
New Zealand,CR1,2
New Zealand,CR2,2
New Zealand,DV1,6
New Zealand,DV2,1
New Zealand,E11,1
New Zealand,E14,1
New Zealand,E15,2
New Zealand,E31,1
New Zealand,E34,1
New Zealand,F43,1
New Zealand,IR1,5
New Zealand,IR5,1
New Zealand,T51,1
Nicaragua,CR1,9
Nicaragua,CR2,4
Nicaragua,E34,1
Nicaragua,E35,2
Nicaragua,F11,22
Nicaragua,F12,20
Nicaragua,F21,2
Nicaragua,F22,2
Nicaragua,F23,2
Nicaragua,F24,12
Nicaragua,F25,5
Nicaragua,F31,1
Nicaragua,F41,5
Nicaragua,F42,1
Nicaragua,F43,1
Nicaragua,FX1,8
Nicaragua,FX2,5
Nicaragua,FX3,6
Nicaragua,IR1,41
Nicaragua,IR2,25
Nicaragua,IR3,1
Nicaragua,IR5,9
Niger,CR1,1
Niger,FX2,1
Nigeria,CR1,79
Nigeria,CR2,5
Nigeria,E21,4
Nigeria,E22,3
Nigeria,E23,6
Nigeria,E31,3
Nigeria,E34,2
Nigeria,F11,29
Nigeria,F12,18
Nigeria,F21,9
Nigeria,F22,4
Nigeria,F23,2
Nigeria,F24,3
Nigeria,F25,4
Nigeria,F31,2
Nigeria,F32,2
Nigeria,F33,7
Nigeria,F41,14
Nigeria,F42,11
Nigeria,F43,22
Nigeria,FX1,7
Nigeria,FX2,5
Nigeria,FX3,4
Nigeria,I51,1
Nigeria,I52,1
Nigeria,I53,3
Nigeria,IR1,71
Nigeria,IR2,95
Nigeria,IR3,9
Nigeria,IR5,115
Nigeria,IW1,1
Nigeria,SB1,6
Norway,E31,1
Norway,F22,1
Norway,IR1,3
Norway,IR2,3
Norway,IR5,1
Norway,SB1,1
Oman,CR1,1
Oman,I53,1
Oman,IR2,1
Pakistan,CR1,158
Pakistan,CR2,2
Pakistan,E21,2
Pakistan,E22,3
Pakistan,E23,2
Pakistan,E31,3
Pakistan,E32,1
Pakistan,E34,4
Pakistan,E35,10
Pakistan,F11,4
Pakistan,F21,23
Pakistan,F22,6
Pakistan,F23,7
Pakistan,F24,13
Pakistan,F25,1
Pakistan,F31,15
Pakistan,F32,14
Pakistan,F33,37
Pakistan,F41,57
Pakistan,F42,48
Pakistan,F43,125
Pakistan,FX1,19
Pakistan,FX2,5
Pakistan,FX3,7
Pakistan,I51,4
Pakistan,I52,4
Pakistan,I53,3
Pakistan,IR1,63
Pakistan,IR2,37
Pakistan,IR4,3
Pakistan,IR5,146
Pakistan,SB1,4
Pakistan,SE1,2
Pakistan,SE2,2
Pakistan,SE3,3
Pakistan,SQ3,5
Panama,CR1,2
Panama,F11,1
Panama,F12,2
Panama,F24,1
Panama,F43,1
Panama,FX1,1
Panama,FX2,2
Panama,IR1,5
Panama,IR2,5
Panama,IR5,6
Papua New Guinea,IR2,1
Paraguay,CR1,3
Paraguay,E31,1
Paraguay,F11,3
Paraguay,F12,1
Paraguay,IR1,5
Paraguay,IR5,3
Peru,CR1,36
Peru,CR2,10
Peru,E22,1
Peru,F11,33
Peru,F12,16
Peru,F21,12
Peru,F22,11
Peru,F23,8
Peru,F24,29
Peru,F25,13
Peru,F31,5
Peru,F32,4
Peru,F33,8
Peru,F41,25
Peru,F42,15
Peru,F43,30
Peru,FX1,15
Peru,FX2,17
Peru,FX3,12
Peru,I53,1
Peru,IR1,88
Peru,IR2,30
Peru,IR5,106
Peru,IW1,1
Philippines,CR1,139
Philippines,CR2,35
Philippines,E21,17
Philippines,E22,10
Philippines,E23,16
Philippines,E31,156
Philippines,E32,124
Philippines,E34,122
Philippines,E35,163
Philippines,EW3,6
Philippines,EW4,2
Philippines,EW5,11
Philippines,F11,19
Philippines,F12,16
Philippines,F21,52
Philippines,F22,54
Philippines,F23,35
Philippines,F24,134
Philippines,F25,113
Philippines,F31,27
Philippines,F32,29
Philippines,F33,41
Philippines,F41,120
Philippines,F42,82
Philippines,F43,70
Philippines,FX1,63
Philippines,FX2,44
Philippines,FX3,49
Philippines,I51,1
Philippines,I53,3
Philippines,IB3,2
Philippines,IH4,12
Philippines,IR1,144
Philippines,IR2,214
Philippines,IR5,501
Philippines,IW1,3
Philippines,IW2,1
Philippines,SB1,14
Philippines,SE3,2
Poland,CR1,4
Poland,CR2,1
Poland,DV1,9
Poland,DV2,8
Poland,DV3,5
Poland,F11,5
Poland,F12,1
Poland,F21,3
Poland,F22,4
Poland,F24,3
Poland,F25,2
Poland,F31,11
Poland,F32,9
Poland,F33,16
Poland,F41,10
Poland,F42,4
Poland,F43,7
Poland,FX1,4
Poland,IH3,3
Poland,IR1,10
Poland,IR2,2
Poland,IR5,17
Portugal,DV1,1
Portugal,DV2,1
Portugal,F11,2
Portugal,FX3,1
Portugal,IR1,1
Portugal,IR2,1
Qatar,FX2,1
Qatar,IR2,1
Qatar,IR5,1
Romania,CR1,11
Romania,CR2,1
Romania,DV1,5
Romania,DV2,2
Romania,E21,1
Romania,E31,1
Romania,E34,1
Romania,E35,1
Romania,F11,1
Romania,F12,1
Romania,F21,1
Romania,F31,2
Romania,F32,1
Romania,F33,2
Romania,F41,1
Romania,F42,1
Romania,F43,1
Romania,IH3,2
Romania,IR1,10
Romania,IR2,2
Romania,IR5,8
Romania,SB1,4
Russia,CR1,17
Russia,CR2,3
Russia,DV1,74
Russia,DV2,46
Russia,DV3,47
Russia,E11,3
Russia,E14,2
Russia,E15,6
Russia,E21,2
Russia,E22,1
Russia,E23,2
Russia,E32,2
Russia,E34,1
Russia,E35,1
Russia,F11,9
Russia,F12,2
Russia,F21,4
Russia,F22,4
Russia,F24,1
Russia,F31,2
Russia,F32,3
Russia,F33,3
Russia,F41,1
Russia,F43,1
Russia,FX1,8
Russia,FX2,6
Russia,I51,2
Russia,I52,1
Russia,I53,2
Russia,IR1,11
Russia,IR2,5
Russia,IR3,2
Russia,IR5,52
Russia,SB1,2
Russia,SE1,1
Rwanda,DV1,3
Rwanda,F21,1
Rwanda,F22,1
Rwanda,FX1,1
Rwanda,FX2,1
Rwanda,IR2,1
Saint Kitts and Nevis,F11,2
Saint Kitts and Nevis,F12,2
Saint Kitts and Nevis,F22,3
Saint Kitts and Nevis,F41,1
Saint Kitts and Nevis,F42,1
Saint Kitts and Nevis,FX2,1
Saint Kitts and Nevis,IR1,1
Saint Kitts and Nevis,IR5,1
Saint Lucia,CR1,1
Saint Lucia,DV1,2
Saint Lucia,DV2,1
Saint Lucia,E31,3
Saint Lucia,E34,2
Saint Lucia,E35,1
Saint Lucia,F11,4
Saint Lucia,F12,4
Saint Lucia,F21,2
Saint Lucia,F22,1
Saint Lucia,F23,1
Saint Lucia,F31,1
Saint Lucia,F32,1
Saint Lucia,F41,1
Saint Lucia,FX1,1
Saint Lucia,IR1,8
Saint Lucia,IR2,5
Saint Lucia,IR5,7
Saint Vincent and the Grenadines,CR1,1
Saint Vincent and the Grenadines,F11,5
Saint Vincent and the Grenadines,F12,3
Saint Vincent and the Grenadines,F31,2
Saint Vincent and the Grenadines,F32,2
Saint Vincent and the Grenadines,F33,2
Saint Vincent and the Grenadines,FX2,1
Saint Vincent and the Grenadines,IR1,3
Saint Vincent and the Grenadines,IR2,6
Saint Vincent and the Grenadines,IR5,7
Samoa,CR1,1
Samoa,F43,1
Samoa,IR1,1
Saudi Arabia,CR1,7
Saudi Arabia,DV1,3
Saudi Arabia,DV2,1
Saudi Arabia,DV3,2
Saudi Arabia,E23,1
Saudi Arabia,E31,2
Saudi Arabia,E35,3
Saudi Arabia,F33,1
Saudi Arabia,F41,1
Saudi Arabia,F43,6
Saudi Arabia,FX1,2
Saudi Arabia,FX2,1
Saudi Arabia,I51,1
Saudi Arabia,I52,2
Saudi Arabia,IR1,9
Saudi Arabia,IR2,5
Saudi Arabia,SB1,1
Saudi Arabia,SE3,1
Saudi Arabia,SQ2,1
Senegal,CR1,4
Senegal,DV1,4
Senegal,DV2,1
Senegal,DV3,1
Senegal,F11,1
Senegal,F22,1
Senegal,F41,1
Senegal,F43,2
Senegal,FX1,2
Senegal,FX2,6
Senegal,IR1,7
Senegal,IR2,11
Serbia,CR1,6
Serbia,DV1,11
Serbia,DV2,4
Serbia,DV3,1
Serbia,F12,1
Serbia,F21,1
Serbia,F24,1
Serbia,F41,1
Serbia,F43,2
Serbia,IR1,1
Serbia,IR5,3
Seychelles,IR5,1
Sierra Leone,CR1,10
Sierra Leone,DV1,3
Sierra Leone,F11,3
Sierra Leone,F12,5
Sierra Leone,FX1,1
Sierra Leone,FX2,2
Sierra Leone,IR1,8
Sierra Leone,IR2,21
Sierra Leone,IR3,17
Sierra Leone,IR5,17
Singapore,CR1,1
Singapore,E34,2
Singapore,E35,1
Singapore,I51,1
Singapore,I52,1
Singapore,I53,3
Singapore,IR1,3
Singapore,IR2,1
Singapore,IR5,1
Slovakia,CR1,2
Slovakia,DV1,3
Slovakia,DV2,3
Slovakia,IR2,2
Slovakia,IR5,1
Slovenia,E11,1
Slovenia,E21,1
Slovenia,E22,1
Slovenia,E23,1
Somalia,CR1,3
Somalia,DV1,1
Somalia,F21,1
Somalia,F22,1
Somalia,FX1,1
Somalia,FX2,4
Somalia,IR1,4
Somalia,IR2,11
Somalia,IR5,5
South Africa,CR1,8
South Africa,CR2,1
South Africa,DV1,3
South Africa,E31,1
South Africa,E35,5
South Africa,EW3,1
South Africa,EW5,1
South Africa,F11,2
South Africa,F22,1
South Africa,F31,1
South Africa,F33,2
South Africa,I51,1
South Africa,I52,1
South Africa,I53,2
South Africa,IH3,3
South Africa,IR1,7
South Africa,IR2,1
South Africa,IR5,4
South Sudan,CR1,1
South Sudan,FX2,1
South Sudan,IR1,2
South Sudan,IR5,2
Spain,CR1,7
Spain,DV1,2
Spain,DV2,2
Spain,DV3,1
Spain,E11,3
Spain,E14,2
Spain,E15,7
Spain,E21,2
Spain,E22,2
Spain,E23,1
Spain,F11,1
Spain,F12,2
Spain,F25,1
Spain,F41,1
Spain,F42,1
Spain,FX1,1
Spain,FX2,1
Spain,I53,2
Spain,IR1,5
Spain,IR2,3
Spain,IR5,3
Spain,SB1,3
Spain,T52,1
Spain,T53,1
Sri Lanka,CR1,10
Sri Lanka,DV1,4
Sri Lanka,DV2,1
Sri Lanka,DV3,2
Sri Lanka,E21,1
Sri Lanka,E22,1
Sri Lanka,E23,1
Sri Lanka,F11,1
Sri Lanka,F21,3
Sri Lanka,F22,1
Sri Lanka,F24,1
Sri Lanka,F41,3
Sri Lanka,F42,3
Sri Lanka,F43,3
Sri Lanka,FX1,3
Sri Lanka,IR1,4
Sri Lanka,IR2,2
Sri Lanka,IR5,6
Sudan,CR1,14
Sudan,DV1,29
Sudan,DV2,6
Sudan,DV3,9
Sudan,F11,2
Sudan,F21,6
Sudan,F22,4
Sudan,F23,4
Sudan,F41,1
Sudan,F43,3
Sudan,FX1,2
Sudan,FX2,2
Sudan,IR1,27
Sudan,IR2,17
Sudan,IR5,34
Suriname,F21,1
Suriname,F23,4
Suriname,F41,1
Suriname,F43,1
Suriname,IR1,2
Suriname,IR2,1
Suriname,IR5,1
Sweden,CR1,5
Sweden,DV1,1
Sweden,E31,1
Sweden,F22,1
Sweden,F33,1
Sweden,FX1,1
Sweden,IR1,6
Sweden,IR2,1
Switzerland,CR1,1
Switzerland,DV1,1
Switzerland,IR1,6
Switzerland,SB1,1
Syria,CR1,3
Syria,E31,2
Syria,E34,2
Syria,E35,3
Syria,F21,1
Syria,F31,3
Syria,F32,2
Syria,F33,4
Syria,F41,2
Syria,F42,4
Syria,F43,6
Syria,FX1,1
Syria,FX2,1
Syria,I51,1
Syria,I52,1
Syria,I53,1
Syria,IR1,3
Syria,IR5,14
Syria,SB1,1
Tajikistan,CR2,1
Tajikistan,DV1,15
Tajikistan,DV2,9
Tajikistan,DV3,16
Tajikistan,E34,1
Tajikistan,F22,1
Tajikistan,F31,1
Tajikistan,F32,1
Tajikistan,FX1,1
Tajikistan,IR2,1
Tajikistan,IR5,2
Tanzania,CR2,1
Tanzania,E21,1
Tanzania,F24,2
Tanzania,F31,1
Tanzania,IR1,5
Tanzania,IR2,4
Tanzania,IR5,2
Thailand,CR1,20
Thailand,CR2,3
Thailand,DV1,1
Thailand,E22,1
Thailand,E31,1
Thailand,E34,3
Thailand,EW3,1
Thailand,EW4,1
Thailand,F11,7
Thailand,F12,4
Thailand,F21,1
Thailand,F22,1
Thailand,F24,3
Thailand,F31,1
Thailand,F32,1
Thailand,F33,2
Thailand,F41,6
Thailand,F42,1
Thailand,F43,3
Thailand,FX1,1
Thailand,FX2,4
Thailand,FX3,1
Thailand,IH4,3
Thailand,IR1,18
Thailand,IR2,17
Thailand,IR5,11
Thailand,SB1,1
Togo,CR1,5
Togo,DV1,30
Togo,DV2,7
Togo,DV3,6
Togo,F11,1
Togo,F21,2
Togo,FX1,4
Togo,FX2,2
Togo,IR1,1
Togo,IR2,9
Togo,IR5,11
Tonga,F41,1
Tonga,F42,1
Tonga,F43,2
Tonga,IR1,3
Tonga,IR2,2
Tonga,IR5,3
Trinidad and Tobago,CR1,6
Trinidad and Tobago,DV1,2
Trinidad and Tobago,DV2,2
Trinidad and Tobago,DV3,5
Trinidad and Tobago,E31,3
Trinidad and Tobago,E34,1
Trinidad and Tobago,E35,1
Trinidad and Tobago,F11,9
Trinidad and Tobago,F12,3
Trinidad and Tobago,F21,1
Trinidad and Tobago,F22,1
Trinidad and Tobago,F24,1
Trinidad and Tobago,F25,2
Trinidad and Tobago,F31,3
Trinidad and Tobago,F32,2
Trinidad and Tobago,F33,1
Trinidad and Tobago,F41,2
Trinidad and Tobago,F43,1
Trinidad and Tobago,FX2,5
Trinidad and Tobago,IR1,11
Trinidad and Tobago,IR2,18
Trinidad and Tobago,IR5,35
Trinidad and Tobago,IW1,1
Tunisia,CR1,7
Tunisia,DV1,3
Tunisia,DV2,1
Tunisia,F21,1
Tunisia,F22,1
Tunisia,IR1,7
Tunisia,IR2,7
Tunisia,IR5,5
Turkey,CR1,24
Turkey,CR2,1
Turkey,DV1,35
Turkey,DV2,22
Turkey,DV3,19
Turkey,E11,1
Turkey,E14,1
Turkey,E15,1
Turkey,E31,1
Turkey,E32,1
Turkey,E34,1
Turkey,E35,1
Turkey,EW3,1
Turkey,EW4,1
Turkey,EW5,1
Turkey,F11,3
Turkey,F12,1
Turkey,F21,1
Turkey,FX1,2
Turkey,FX2,1
Turkey,I51,3
Turkey,I52,2
Turkey,I53,5
Turkey,IR1,23
Turkey,IR2,4
Turkey,IR5,20
Turkey,SB1,1
Turkey,SE2,1
Turkey,SQ3,1
Turkey,SU2,1
Turkey,SU3,1
Turkmenistan,CR1,1
Turkmenistan,DV1,1
Turkmenistan,DV2,1
Turkmenistan,DV3,2
Turkmenistan,FX1,2
Turkmenistan,FX2,2
Turkmenistan,IR2,1
Uganda,CR1,7
Uganda,DV1,7
Uganda,DV2,3
Uganda,DV3,8
Uganda,F11,3
Uganda,F12,1
Uganda,F21,1
Uganda,F22,1
Uganda,F41,2
Uganda,FX2,2
Uganda,IR1,6
Uganda,IR2,10
Uganda,IR3,2
Uganda,IR5,9
Ukraine,CR1,9
Ukraine,CR2,5
Ukraine,DV1,75
Ukraine,DV2,54
Ukraine,DV3,59
Ukraine,E11,1
Ukraine,E14,1
Ukraine,E15,1
Ukraine,E23,1
Ukraine,F11,6
Ukraine,F12,2
Ukraine,F21,10
Ukraine,F22,7
Ukraine,F24,3
Ukraine,F31,4
Ukraine,F32,6
Ukraine,F33,9
Ukraine,F41,3
Ukraine,F42,2
Ukraine,F43,1
Ukraine,FX1,10
Ukraine,FX2,12
Ukraine,IR1,6
Ukraine,IR2,6
Ukraine,IR3,25
Ukraine,IR4,12
Ukraine,IR5,58
United Arab Emirates,CR1,5
United Arab Emirates,CR2,2
United Arab Emirates,DV1,2
United Arab Emirates,DV2,1
United Arab Emirates,DV3,2
United Arab Emirates,E35,5
United Arab Emirates,F11,1
United Arab Emirates,F22,2
United Arab Emirates,F33,6
United Arab Emirates,I53,16
United Arab Emirates,IR1,4
United Arab Emirates,IR2,2
United Arab Emirates,T53,1
Uruguay,E34,1
Uruguay,F31,1
Uruguay,F32,1
Uruguay,F33,1
Uruguay,FX1,1
Uruguay,I51,1
Uruguay,I52,1
Uruguay,IR1,1
Uruguay,IR5,3
Uzbekistan,CR1,6
Uzbekistan,DV1,80
Uzbekistan,DV2,49
Uzbekistan,DV3,75
Uzbekistan,F11,1
Uzbekistan,F21,13
Uzbekistan,F22,9
Uzbekistan,F24,1
Uzbekistan,F31,1
Uzbekistan,F33,4
Uzbekistan,FX1,8
Uzbekistan,FX2,11
Uzbekistan,IR1,1
Uzbekistan,IR2,2
Uzbekistan,IR5,14
Uzbekistan,SB1,4
Venezuela,CR1,8
Venezuela,CR2,2
Venezuela,DV1,25
Venezuela,DV2,17
Venezuela,DV3,25
Venezuela,E11,11
Venezuela,E14,11
Venezuela,E15,12
Venezuela,E21,1
Venezuela,E32,1
Venezuela,EW3,1
Venezuela,F11,14
Venezuela,F12,9
Venezuela,F21,2
