Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
#NAME?,479,5,700,206,133,"1,523"
Hong Kong S.A.R,206,5,746,50,35,"1,042"
India,"12,091",137,"12,305",667,0,"25,200"
Indonesia,364,6,196,18,55,639
Iran,"1,928",15,"2,041",332,"3,741","8,057"
Iraq,424,"3,569",245,32,65,"4,335"
Israel,356,6,127,33,49,571
Japan,985,21,87,252,230,"1,575"
Jordan,"1,993",15,"1,305",42,122,"3,477"
"Korea, North",3,0,2,0,0,5
"Korea, South","1,251",42,905,"2,037",0,"4,235"
Kuwait,168,4,147,8,66,393
Laos,116,1,70,1,0,188
Lebanon,768,15,786,81,84,"1,734"
Malaysia,141,1,138,36,15,331
Maldives,0,0,0,0,0,0
Mongolia,71,0,18,14,111,214
Nepal,"1,026",10,488,91,"3,316","4,931"
Oman,9,0,9,0,1,19
Pakistan,"4,452",41,"3,989",265,0,"8,747"
Philippines,"15,673",116,"15,842","4,114",0,"35,745"
Qatar,44,0,22,1,14,81
Saudi Arabia,263,8,115,17,81,484
Singapore,64,5,53,14,5,141
Sri Lanka,284,5,150,40,287,766
Syria,"1,019",24,974,75,87,"2,179"
Thailand,"1,009",3,308,31,21,"1,372"
Timor-Leste,0,0,0,0,0,0
United Arab Emirates,144,11,146,40,36,377
Vietnam,"8,796",21,"14,527",68,0,"23,424"
Yemen,"2,366",8,559,31,194,"3,158"
Region Total For Asia,"74,198","5,786","77,753","16,782","9,480","184,011"
Europe,,,,,,
Albania,"1,230",6,351,25,987,"2,599"
Andorra,0,0,0,0,0,0
Armenia,662,1,206,13,893,"1,775"
Austria,57,3,1,8,37,106
Azerbaijan,119,0,64,13,178,374
Belarus,258,0,87,6,841,"1,192"
Belgium,67,0,18,19,33,137
Bosnia and Herzegovina,199,0,49,3,30,281
Bulgaria,577,7,133,23,950,"1,690"
Croatia,62,0,13,1,18,94
Cyprus,22,2,3,2,2,31
Czech Republic,53,5,23,9,24,114
Denmark,64,3,14,11,18,110
Faroe Islands,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Estonia,16,0,15,1,20,52
Finland,47,0,3,8,25,83
France,400,6,105,59,157,727
French Polynesia,0,0,0,0,1,1
French Southern and Antarctic Lands,0,0,0,0,0,0
Mayotte,0,0,0,0,0,0
New Caledonia,0,0,0,4,0,4
St. Barthelemy,0,0,0,0,0,0
Saint Martin,0,0,1,0,0,1
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,352,1,73,15,408,849
Germany,"1,345",13,115,104,541,"2,118"
Great Britain and Northern Ireland,"1,927",23,454,311,0,"2,715"
Anguilla,2,0,10,0,0,12
Bermuda,16,0,14,0,0,30
British Indian Ocean Territory,0,0,0,0,0,0
British Virgin Islands,6,0,7,1,0,14
Cayman Islands,12,0,7,0,0,19
Falkland Islands,0,0,0,0,0,0
Gibraltar,3,0,1,0,0,4
Montserrat,2,0,9,0,0,11
Pitcairn,0,0,0,0,0,0
St. Helena,1,0,0,0,0,1
South Georgia and the South Sandwich Islands,0,0,0,0,0,0
Turks and Caicos Islands,9,0,8,1,0,18
Greece,446,2,50,14,49,561
Hungary,114,2,29,23,106,274
Iceland,14,1,0,8,13,36
Ireland,169,0,11,25,48,253
Italy,398,4,86,44,133,665
Kazakhstan,182,4,46,15,309,556
Kosovo,317,0,114,6,126,563
Kyrgyzstan,67,2,19,3,183,274
Latvia,129,4,24,1,54,212
Liechtenstein,0,0,0,0,0,0
Lithuania,85,4,59,11,139,298
Luxembourg,10,0,1,0,2,13
Macedonia,240,1,116,12,144,513
Malta,3,0,5,1,0,9
Moldova,163,3,68,2,889,"1,125"
Monaco,1,0,1,0,0,2
Montenegro,112,0,50,1,11,174
Netherlands,110,1,18,25,30,184
Aruba,3,0,5,0,0,8
Curacao,10,0,6,1,4,21
Sint Maarten,10,0,13,0,0,23
Northern Ireland (DV only),0,0,0,0,11,11
Norway,49,1,3,17,15,85
Svalbard,0,0,0,0,0,0
Poland,558,29,874,62,752,"2,275"
Portugal,90,0,53,16,15,174
Macau,13,0,41,0,4,58
Romania,563,25,276,39,407,"1,310"
Russia,"1,715",31,456,128,"1,601","3,931"
San Marino,0,0,0,0,0,0
Serbia,229,0,68,9,159,465
Slovakia,37,1,18,12,25,93
Slovenia,8,0,0,1,4,13
Spain,281,10,65,33,80,469
Western Sahara,0,0,0,0,0,0
Sweden,131,0,20,14,52,217
Switzerland,72,3,7,6,37,125
Tajikistan,32,0,25,19,200,276
Turkey,467,12,140,95,619,"1,333"
Turkmenistan,23,0,10,1,64,98
Ukraine,"1,705",7,648,60,"1,800","4,220"
Uzbekistan,268,6,233,9,"3,371","3,887"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"16,332",223,"5,442","1,350","16,619","39,966"
North America,,,,,,
Antigua and Barbuda,54,0,123,0,6,183
"Bahamas, The",74,0,33,2,13,122
Barbados,69,1,104,1,0,175
Belize,127,0,156,5,9,297
Canada,"1,185",1,503,254,0,"1,943"
Costa Rica,315,4,130,6,18,473
Cuba,"2,405",18,"2,297",4,193,"4,917"
Dominica,122,1,269,5,11,408
Dominican Republic,"11,763",13,"21,196",40,0,"33,012"
El Salvador,"4,298",10,"6,978",117,0,"11,403"
Grenada,120,0,152,2,1,275
Guatemala,"1,984",8,"2,691",59,0,"4,742"
Haiti,"5,492",10,"9,665",11,0,"15,178"
Honduras,"2,634",22,"2,320",98,20,"5,094"
Jamaica,"5,614",3,"5,767",127,0,"11,511"
Mexico,"37,436",9,"26,555",498,0,"64,498"
Nicaragua,"1,046",9,756,6,28,"1,845"
Panama,231,6,163,4,4,408
Saint Kitts and Nevis,48,0,116,1,4,169
Saint Lucia,125,0,194,0,8,327
Saint Vincent and the Grenadines,87,0,94,2,9,192
Trinidad and Tobago,605,5,822,20,43,"1,495"
Region Total For North America,"75,834",120,"81,084","1,262",367,"158,667"
Oceania,,,,,,
Australia,350,6,41,37,355,789
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0
Fiji,242,4,193,5,249,693
Kiribati,0,0,0,0,0,0
Marshall Islands,18,0,0,0,0,18
"Micronesia, Federated States of",1,0,0,0,0,1
Nauru,0,0,0,0,0,0
New Zealand,141,4,20,20,109,294
Cook Islands,0,0,0,0,0,0
Niue,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0
Palau,0,1,1,1,0,3
Papua New Guinea,8,0,1,0,7,16
Samoa,36,1,0,0,0,37
Solomon Islands,0,0,0,0,0,0
Tonga,34,3,83,0,11,131
Tuvalu,0,0,0,0,0,0
Vanuatu,1,0,0,0,0,1
Region Total for Oceania,831,19,339,63,731,"1,983"
South America,,,,,,
Argentina,321,8,103,28,21,481
Bolivia,288,1,322,114,30,755
Brazil,"1,223",11,358,112,0,"1,704"
Chile,222,7,74,15,8,326
Colombia,"4,281",22,"3,733",107,0,"8,143"
Ecuador,"2,755",42,"3,736",195,0,"6,728"
Guyana,"1,246",5,"3,475",10,14,"4,750"
Paraguay,55,0,47,7,4,113
Peru,"2,349",46,"2,700",103,0,"5,198"
Suriname,27,0,31,3,3,64
Uruguay,56,4,27,7,1,95
Venezuela,709,2,440,162,503,"1,816"
Region Total For South America,"13,532",148,"15,046",863,584,"30,173"
Worldwide Grand Totals,"205,435","6,424","189,020","21,144","51,080","473,115"
