Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Latvia,105,1,7,1,68,182
Liechtenstein,0,0,0,0,1,1
Lithuania,128,1,33,4,161,327
Luxembourg,4,0,1,0,1,6
Macedonia,321,3,174,11,175,684
Malta,5,1,0,0,0,6
Moldova,181,5,57,9,563,815
Monaco,1,0,0,0,0,1
Montenegro,121,0,38,0,2,161
Netherlands,168,0,17,22,41,248
Aruba,7,0,2,0,1,10
Curacao,2,0,3,0,1,6
Netherlands Antilles,3,0,3,1,0,7
Sint Maarten,10,0,8,0,0,18
Northern Ireland (DV only),0,0,0,0,15,15
Norway,69,1,8,11,11,100
Svalbard,0,0,0,0,0,0
Poland,705,13,863,65,0,"1,646"
Portugal,106,3,50,27,9,195
Macau,11,0,44,0,1,56
Romania,735,25,204,36,433,"1,433"
Russia,"2,638",40,350,137,"1,443","4,608"
San Marino,0,0,0,0,0,0
Serbia,201,0,56,17,149,423
Slovakia,72,3,15,3,33,126
Slovenia,3,0,3,0,2,8
Spain,372,6,53,14,72,517
Western Sahara,0,0,0,0,0,0
Sweden,153,0,19,12,28,212
Switzerland,97,1,7,15,63,183
Tajikistan,33,0,8,21,169,231
Turkey,606,8,146,124,863,"1,747"
Turkmenistan,34,0,10,3,81,128
Ukraine,"1,935",7,489,42,"1,637","4,110"
Uzbekistan,269,3,114,17,"3,579","3,982"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"18,282",204,"4,495","1,373","15,583","39,937"
North America,,,,,,
Antigua and Barbuda,73,0,91,1,1,166
"Bahamas, The",76,0,47,3,2,128
Barbados,64,1,72,4,5,146
Belize,134,0,131,0,8,273
Canada,"1,425",2,480,287,0,"2,194"
Costa Rica,350,0,87,10,11,458
Cuba,"2,223",4,610,0,230,"3,067"
Dominica,159,0,247,1,5,412
Dominican Republic,"14,697",31,"21,395",22,0,"36,145"
El Salvador,"4,742",6,"6,355",133,0,"11,236"
Grenada,126,0,103,0,2,231
Guatemala,"2,060",7,"2,811",101,0,"4,979"
Haiti,"7,717",36,"7,384",14,0,"15,151"
Honduras,"1,468",3,"1,249",84,26,"2,830"
Jamaica,"5,697",4,"5,409",66,0,"11,176"
Mexico,"36,237",0,"32,881",414,0,"69,532"
Nicaragua,"1,201",5,770,4,22,"2,002"
Panama,289,4,179,11,5,488
Saint Kitts and Nevis,58,0,151,0,0,209
Saint Lucia,147,0,133,1,6,287
Saint Vincent and the Grenadines,121,0,91,1,2,215
Trinidad and Tobago,809,2,702,27,43,"1,583"
Region Total For North America,"79,873",105,"81,378","1,184",368,"162,908"
Oceania,,,,,,
Australia,415,8,41,22,239,725
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0
Fiji,251,4,245,8,166,674
Kiribati,1,0,0,0,0,1
Marshall Islands,20,0,0,0,0,20
"Micronesia, Federated States of",1,0,0,0,0,1
Nauru,0,0,0,0,6,6
New Zealand,152,6,26,15,81,280
Cook Islands,1,0,0,0,0,1
Niue,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0
Palau,3,0,0,0,0,3
Papua New Guinea,3,1,2,0,1,7
Samoa,24,0,3,0,3,30
Solomon Islands,1,0,0,0,0,1
Tonga,67,1,63,0,9,140
Tuvalu,0,0,0,0,0,0
Vanuatu,2,0,0,0,0,2
Region Total for Oceania,941,20,380,45,505,"1,891"
South America,,,,,,
Argentina,299,2,45,55,37,438
Bolivia,384,0,217,75,28,704
Brazil,"1,491",12,254,111,0,"1,868"
Chile,266,6,47,9,11,339
Colombia,"4,807",22,"3,036",60,0,"7,925"
Ecuador,"3,205",20,"2,798",294,0,"6,317"
Guyana,"1,828",0,"3,069",14,23,"4,934"
Paraguay,120,0,32,4,4,160
Peru,"2,880",32,"2,308",124,0,"5,344"
Suriname,26,0,43,0,0,69
Uruguay,73,0,20,4,1,98
Venezuela,"1,018",3,434,104,406,"1,965"
Region Total For South America,"16,397",97,"12,303",854,510,"30,161"
Worldwide Grand Totals,"216,856","1,861","192,891","15,099","49,507","476,249"
