Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Cook Islands,0,0,0,0,0,0
Niue,0,0,0,0,0,0
Palau,6,0,0,0,0,6
Papua New Guinea,6,0,0,0,7,13
Samoa,33,0,4,0,5,42
Solomon Islands,1,0,0,0,0,1
Tonga,36,1,59,0,20,116
Tuvalu,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0
Region Total for Oceania,935,18,563,64,572,"2,152"
South America,,,,,,
Argentina,218,4,68,41,61,392
Bolivia,435,0,192,66,72,765
Brazil,"1,240",5,201,155,0,"1,601"
Chile,263,7,101,13,11,395
Colombia,"4,070",33,"2,840",107,0,"7,050"
Ecuador,"2,864",10,"3,201",308,0,"6,383"
Guyana,"1,517",0,"3,631",11,26,"5,185"
Paraguay,76,0,12,3,16,107
Peru,"2,810",22,"2,658",108,0,"5,598"
Suriname,37,0,43,1,0,81
Uruguay,59,0,12,14,5,90
Venezuela,959,8,393,109,339,"1,808"
Region Total For South America,"14,548",89,"13,352",936,530,"29,455"
Worldwide Grand Totals,"215,947","3,043","200,567","12,701","49,771","482,052"
