Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Northern Ireland (DV only),0,0,0,0,15,15
Norway,60,1,9,2,1,73
Svalbard,0,0,0,0,0,0
Poland,738,19,814,50,368,"1,989"
Portugal,92,1,39,17,20,169
Macau,5,0,21,1,15,42
Romania,540,30,239,39,502,"1,350"
Russia,"1,581",23,422,182,"1,949","4,157"
San Marino,0,0,0,0,0,0
Serbia,216,1,97,2,210,526
Slovakia,50,2,5,7,41,105
Slovenia,17,0,0,2,4,23
Spain,335,7,68,28,160,598
Sweden,141,0,19,12,40,212
Switzerland,92,1,5,9,50,157
Tajikistan,43,3,20,36,333,435
Turkey,553,16,185,113,"1,164","2,031"
Turkmenistan,31,1,6,8,91,137
Ukraine,"1,987",37,804,60,"1,278","4,166"
Uzbekistan,310,12,404,22,"2,520","3,268"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"18,142",255,"6,071","1,472","19,141","45,081"
North America,,,,,,
Antigua and Barbuda,55,0,94,0,4,153
"Bahamas, The",114,0,36,12,7,169
Barbados,57,0,88,7,6,158
Belize,146,1,128,11,0,286
Canada,"1,465",5,484,211,0,"2,165"
Costa Rica,500,2,121,7,6,636
Cuba,"3,549",8,"2,262",6,473,"6,298"
Dominica,112,1,118,1,0,232
Dominican Republic,"17,151",19,"27,856",39,0,"45,065"
El Salvador,"5,917",11,"6,494",66,0,"12,488"
Grenada,129,0,113,0,2,244
Guatemala,"3,381",4,"2,293",9,20,"5,707"
Haiti,"5,772",33,"7,430",16,0,"13,251"
Honduras,"2,842",7,"1,834",51,31,"4,765"
Jamaica,"5,026",18,"5,711",246,0,"11,001"
Mexico,"50,835",16,"31,359",266,0,"82,476"
Nicaragua,"1,294",10,821,1,4,"2,130"
Panama,214,4,148,11,5,382
Saint Kitts and Nevis,56,0,79,4,1,140
Saint Lucia,161,0,176,6,4,347
Saint Vincent and the Grenadines,100,0,64,6,3,173
Trinidad and Tobago,642,8,589,33,46,"1,318"
Region Total For North America,"99,518",147,"88,298","1,009",612,"189,584"
Oceania,,,,,,
Australia,452,5,37,40,400,934
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Norfolk Island,0,0,0,0,5,5
Fiji,220,3,338,3,185,749
Kiribati,0,0,0,0,0,0
Marshall Islands,21,0,0,0,0,21
"Micronesia, Federated States of",0,0,0,0,0,0
Nauru,0,0,1,0,0,1
New Zealand,165,2,4,12,124,307
Cook Islands,1,0,0,0,0,1
Niue,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0
Palau,2,0,2,2,0,6
Papua New Guinea,3,0,0,0,1,4
Samoa,52,0,2,0,0,54
Solomon Islands,0,0,0,0,0,0
Tonga,49,1,80,0,15,145
Tuvalu,0,0,0,0,0,0
Vanuatu,1,0,4,0,0,5
Region Total for Oceania,966,11,468,57,730,"2,232"
South America,,,,,,
Argentina,400,10,135,37,42,624
Bolivia,425,6,262,44,21,758
Brazil,"1,961",14,409,94,0,"2,478"
Chile,249,3,88,13,8,361
Colombia,"4,350",34,"3,091",76,0,"7,551"
Ecuador,"3,790",57,"3,108",94,0,"7,049"
Guyana,"1,268",2,"3,405",5,13,"4,693"
Paraguay,93,2,21,10,2,128
Peru,"2,832",37,"2,587",58,0,"5,514"
Suriname,30,0,27,0,2,59
Uruguay,93,0,24,4,5,126
Venezuela,876,16,619,165,672,"2,348"
Region Total For South America,"16,367",181,"13,776",600,765,"31,689"
Worldwide Grand Totals,"243,432","9,468","208,840","21,613","48,097","531,463"
