Country,TypeOf
Portugal,Christian-Majority Europe
Romania,Christian-Majority Europe
Russia,Christian-Majority Europe
San Marino,Christian-Majority Europe
Serbia,Christian-Majority Europe
Slovakia,Christian-Majority Europe
Slovenia,Christian-Majority Europe
Spain,Christian-Majority Europe
Sweden,Christian-Majority Europe
Switzerland,Christian-Majority Europe
Ukraine,Christian-Majority Europe
Great Britain and Northern Ireland,Christian-Majority Europe
Vatican City,Christian-Majority Europe
China - mainland born,China
India,India
Philippines,Philippines
Vietnam,Vietnam
Algeria,Africa
Angola,Africa
Benin,Africa
Botswana,Africa
Burkina Faso,Africa
Burundi,Africa
Cameroon,Africa
Cape Verde,Africa
Central African Republic,Africa
Chad,Africa
Comoros,Africa
"Congo, Dem. Rep. of the",Africa
"Congo, Republic of the",Africa
Cote d'Ivoire,Africa
Djibouti,Africa
Egypt,Africa
Equatorial Guinea,Africa
Eritrea,Africa
Ethiopia,Africa
Gabon,Africa
"Gambia, The",Africa
Ghana,Africa
Guinea,Africa
Guinea-Bissau,Africa
Kenya,Africa
Lesotho,Africa
Liberia,Africa
Libya,Africa
Madagascar,Africa
Malawi,Africa
Mali,Africa
Mauritania,Africa
Mauritius,Africa
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Niger,Africa
Nigeria,Africa
Rwanda,Africa
Sao Tome and Principe,Africa
Senegal,Africa
Seychelles,Africa
Sierra Leone,Africa
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Sudan,Africa
Swaziland,Africa
Tanzania,Africa
Togo,Africa
Tunisia,Africa
Uganda,Africa
Western Sahara,Africa
Zambia,Africa
Zimbabwe,Africa
Albania,Europe
Andorra,Europe
Anguilla,Europe
Armenia,Europe
Aruba,Europe
Austria,Europe
Azerbaijan,Europe
Belarus,Europe
Belgium,Europe
Bermuda,Europe
Bosnia and Herzegovina,Europe
British Indian Ocean Territory,Europe
British Virgin Islands,Europe
Bulgaria,Europe
Cayman Islands,Europe
Croatia,Europe
Curacao,Europe
Cyprus,Europe
Czech Republic,Europe
Denmark,Europe
Estonia,Europe
Falkland Islands,Europe
Faroe Islands,Europe
Finland,Europe
France,Europe
French Guiana,Europe
French Polynesia,Europe
French Southern and Antarctic Lands,Europe
Georgia,Europe
Germany,Europe
Gibraltar,Europe
Great Britain and Northern Ireland,Europe
Greece,Europe
Greenland,Europe
Guadeloupe,Europe
Hungary,Europe
Iceland,Europe
Ireland,Europe
Italy,Europe
Kazakhstan,Europe
Kosovo,Europe
Kyrgyzstan,Europe
Latvia,Europe
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Macau,Europe
Macedonia,Europe
Malta,Europe
Martinique,Europe
Mayotte,Europe
Moldova,Europe
Monaco,Europe
Montenegro,Europe
Montserrat,Europe
Netherlands,Europe
Netherlands Antilles,Europe
New Caledonia,Europe
Northern Ireland (DV only),Europe
Norway,Europe
Pitcairn,Europe
Poland,Europe
Portugal,Europe
Reunion,Europe
Romania,Europe
Russia,Europe
Saint Martin,Europe
San Marino,Europe
Serbia,Europe
Sint Maarten,Europe
Slovakia,Europe
Slovenia,Europe
South Georgia and the South Sandwich Islands,Europe
Spain,Europe
St. Barthelemy,Europe
St. Helena,Europe
St. Pierre and Miquelon,Europe
Svalbard,Europe
Sweden,Europe
Switzerland,Europe
Tajikistan,Europe
Turkey,Europe
Turkmenistan,Europe
Turks and Caicos Islands,Europe
Ukraine,Europe
Uzbekistan,Europe
Vatican City,Europe
Wallis and Futuna,Europe
Western Sahara,Europe
China - Taiwan born,China
Mexico,Mexico-Central America
Guatemala,Mexico-Central America
Honduras,Mexico-Central America
El Salvador,Mexico-Central America
Nicaragua,Mexico-Central America
Costa Rica,Mexico-Central America
Panama,Mexico-Central America
Syria,Travel Banned
Libya,Travel Banned
Somalia,Travel Banned
Iran,Travel Banned
Yemen,Travel Banned
Chad,Travel Banned
"Korea, North",Travel Banned
